Date,Open,High,Low,Close,Adj Close,Volume
2012-12-13,100.147461,100.147461,100.147461,100.147461,100.147461,0
2012-12-14,98.957611,98.957611,98.957611,98.957611,98.957611,0
2012-12-17,102.351433,102.351433,102.351433,102.351433,102.351433,0
2012-12-18,5.048000,5.048000,5.048000,5.048000,5.048000,0
2012-12-19,5.287750,5.287750,5.287750,5.287750,5.287750,0
2012-12-20,5.185000,5.185000,5.185000,5.185000,5.185000,0
2012-12-21,5.185000,5.185000,5.185000,5.185000,5.185000,0
2012-12-24,5.093000,5.093000,5.093000,5.093000,5.093000,0
2012-12-27,4.939000,4.939000,4.939000,4.903000,4.903000,20000
2012-12-28,4.914000,4.914000,4.914000,4.914000,4.914000,0
2012-12-31,4.728250,4.728250,4.728250,4.728250,4.728250,0
2013-01-02,5.351000,5.351000,5.351000,5.351000,5.351000,0
2013-01-03,5.476000,5.476000,5.476000,5.476000,5.476000,0
2013-01-04,5.470500,5.470500,5.470500,5.470500,5.470500,0
2013-01-07,5.455000,5.455000,5.455000,5.455000,5.455000,0
2013-01-08,5.374750,5.374750,5.374750,5.374750,5.374750,0
2013-01-09,5.505250,5.505250,5.505250,5.505250,5.505250,0
2013-01-10,5.505250,5.505250,5.505250,5.505250,5.505250,0
2013-01-11,5.552500,5.552500,5.552500,5.552500,5.552500,0
2013-01-14,5.569250,5.569250,5.569250,5.569250,5.569250,0
2013-01-15,5.555000,5.555000,5.555000,5.555000,5.555000,0
2013-01-16,5.613500,5.613500,5.613500,5.613500,5.613500,0
2013-01-17,5.693750,5.693750,5.693750,5.693750,5.693750,0
2013-01-18,5.680750,5.680750,5.680750,5.680750,5.680750,0
2013-01-21,5.791500,5.791500,5.791500,5.791500,5.791500,0
2013-01-22,5.791500,5.791500,5.791500,5.791500,5.791500,0
2013-01-23,5.825500,5.825500,5.825500,5.825500,5.825500,0
2013-01-24,5.955750,5.955750,5.955750,5.955750,5.955750,0
2013-01-25,5.955750,5.955750,5.955750,5.955750,5.955750,0
2013-01-28,5.961250,5.961250,5.961250,5.961250,5.961250,0
2013-01-29,6.009250,6.009250,6.009250,6.009250,6.009250,0
2013-01-30,6.002500,6.002500,6.002500,6.002500,6.002500,0
2013-01-31,5.930500,5.930500,5.930500,5.930500,5.930500,0
2013-02-01,6.051500,6.051500,6.051500,6.068000,6.068000,17600
2013-02-04,5.941000,5.941000,5.941000,5.941000,5.941000,0
2013-02-05,6.046250,6.046250,6.046250,6.046250,6.046250,0
2013-02-06,6.074500,6.074500,6.074500,6.074500,6.074500,0
2013-02-07,5.966000,5.966000,5.966000,5.966000,5.966000,0
2013-02-08,6.141500,6.141500,6.141500,6.141500,6.141500,0
2013-02-11,6.155000,6.155000,6.155000,6.155000,6.155000,0
