,Date,Open,High,Low,Close,Adj Close,Volume
16608,1994-03-08,466.920013,467.790009,465.019989,465.880005,465.880005,298110000
16609,1994-03-09,465.940002,467.420013,463.399994,467.059998,467.059998,309810000
16610,1994-03-10,467.079987,467.290009,462.459991,463.899994,463.899994,369370000
16611,1994-03-11,463.859985,466.609985,462.540009,466.440002,466.440002,303890000
16612,1994-03-14,466.440002,467.600006,466.079987,467.390015,467.390015,260150000
16613,1994-03-15,467.390015,468.98999,466.040009,467.01001,467.01001,303750000
16614,1994-03-16,467.040009,469.850006,465.480011,469.420013,469.420013,307640000
16615,1994-03-17,469.420013,471.049988,468.619995,470.899994,470.899994,303930000
16616,1994-03-18,470.890015,471.089996,467.829987,471.059998,471.059998,462240000
16617,1994-03-21,471.059998,471.059998,467.230011,468.540009,468.540009,247380000
16618,1994-03-22,468.399994,470.470001,467.880005,468.799988,468.799988,282240000
16619,1994-03-23,468.890015,470.380005,468.519989,468.540009,468.540009,281500000
16620,1994-03-24,468.570007,468.570007,462.410004,464.350006,464.350006,303740000
16621,1994-03-25,464.350006,465.290009,460.579987,460.579987,460.579987,249640000
16622,1994-03-28,460.579987,461.119995,456.100006,460.0,460.0,287350000
16623,1994-03-29,460.0,460.320007,452.429993,452.480011,452.480011,305360000
16624,1994-03-30,452.480011,452.48999,445.549988,445.549988,445.549988,390520000
16625,1994-03-31,445.549988,447.160004,436.160004,445.769989,445.769989,403580000
16626,1994-04-04,445.660004,445.660004,435.859985,438.920013,438.920013,344390000
16627,1994-04-05,439.140015,448.290009,439.140015,448.290009,448.290009,365990000
16628,1994-04-06,448.290009,449.630005,444.980011,448.049988,448.049988,302000000
16629,1994-04-07,448.109985,451.100006,446.380005,450.880005,450.880005,289280000
16630,1994-04-08,450.890015,450.890015,445.51001,447.100006,447.100006,264090000
16631,1994-04-11,447.119995,450.339996,447.100006,449.869995,449.869995,243180000
16632,1994-04-12,449.829987,450.799988,447.329987,447.570007,447.570007,257990000
16633,1994-04-13,447.630005,448.570007,442.619995,446.26001,446.26001,278030000
16634,1994-04-14,446.26001,447.549988,443.570007,446.380005,446.380005,275130000
16635,1994-04-15,446.380005,447.850006,445.809998,446.179993,446.179993,309550000
16636,1994-04-18,446.269989,447.869995,441.480011,442.459991,442.459991,271470000
16637,1994-04-19,442.540009,444.820007,438.829987,442.540009,442.540009,323280000
16638,1994-04-20,442.540009,445.01001,439.399994,441.959991,441.959991,366540000
16639,1994-04-21,441.959991,449.140015,441.959991,448.730011,448.730011,378770000
16640,1994-04-22,448.730011,449.959991,447.160004,447.630005,447.630005,295710000
16641,1994-04-25,447.640015,452.709991,447.579987,452.709991,452.709991,262320000
16642,1994-04-26,452.709991,452.790009,450.660004,451.869995,451.869995,288120000
16643,1994-04-28,451.839996,452.230011,447.970001,449.100006,449.100006,325200000
16644,1994-04-29,449.070007,451.350006,447.910004,450.910004,450.910004,293970000
16645,1994-05-02,450.910004,453.570007,449.049988,453.019989,453.019989,296130000
16646,1994-05-03,453.059998,453.980011,450.51001,453.029999,453.029999,288270000
16647,1994-05-04,453.040009,453.109985,449.869995,451.720001,451.720001,267940000
16648,1994-05-05,451.720001,452.820007,450.720001,451.380005,451.380005,255690000
16649,1994-05-06,451.369995,451.369995,445.640015,447.820007,447.820007,291910000
16650,1994-05-09,447.820007,447.820007,441.839996,442.320007,442.320007,250870000
16651,1994-05-10,442.369995,446.839996,442.369995,446.01001,446.01001,297660000
16652,1994-05-11,446.029999,446.029999,440.779999,441.48999,441.48999,277400000
16653,1994-05-12,441.5,444.799988,441.5,443.75,443.75,272770000
16654,1994-05-13,443.619995,444.720001,441.209991,444.140015,444.140015,252070000
16655,1994-05-16,444.149994,445.820007,443.619995,444.48999,444.48999,234700000
16656,1994-05-17,444.48999,449.369995,443.700012,449.369995,449.369995,311280000
16657,1994-05-18,449.390015,454.450012,448.869995,453.690002,453.690002,337670000
16658,1994-05-19,453.690002,456.880005,453.0,456.480011,456.480011,303680000
16659,1994-05-20,456.480011,456.480011,454.220001,454.920013,454.920013,295180000
16660,1994-05-23,454.920013,454.920013,451.790009,453.200012,453.200012,249420000
16661,1994-05-24,453.209991,456.769989,453.209991,454.809998,454.809998,280040000
16662,1994-05-25,454.839996,456.339996,452.200012,456.339996,456.339996,254420000
16663,1994-05-26,456.329987,457.769989,455.790009,457.059998,457.059998,255740000
16664,1994-05-27,457.029999,457.329987,454.670013,457.329987,457.329987,186430000
16665,1994-05-31,457.320007,457.609985,455.160004,456.5,456.5,216700000
16666,1994-06-01,456.5,458.290009,453.98999,457.630005,457.630005,279910000
16667,1994-06-02,457.619995,458.5,457.26001,457.649994,457.649994,271630000
16668,1994-06-03,457.649994,460.859985,456.269989,460.130005,460.130005,271490000
