Date,Open,High,Low,Close,Adj Close,Volume
2023-07-09,null,null,null,null,null,null
2023-07-10,2925.000000,2933.800049,2920.300049,2931.100098,2931.100098,0
2023-07-11,2934.399902,2956.399902,2933.899902,2953.100098,2953.100098,0
2023-07-12,2956.100098,2994.100098,2955.399902,2987.199951,2987.199951,0
2023-07-13,2988.500000,3024.399902,2988.000000,3019.699951,3019.699951,0
2023-07-14,3022.199951,3028.500000,3013.600098,3017.899902,3017.899902,0
2023-07-16,null,null,null,null,null,null
2023-07-17,3016.000000,3027.500000,3010.300049,3022.000000,3022.000000,0
2023-07-18,3022.300049,3044.300049,3020.000000,3042.500000,3042.500000,0
2023-07-19,3043.000000,3055.399902,3040.399902,3048.000000,3048.000000,0
2023-07-20,3048.899902,3051.600098,3025.899902,3029.699951,3029.699951,0
2023-07-21,3030.000000,3038.500000,3025.600098,3028.699951,3028.699951,0
2023-07-23,null,null,null,null,null,null
2023-07-24,3030.300049,3040.800049,3027.000000,3037.399902,3037.399902,0
2023-07-25,3036.100098,3052.300049,3035.600098,3045.399902,3045.399902,0
2023-07-26,3046.699951,3054.000000,3035.399902,3044.699951,3044.699951,0
2023-07-27,3045.199951,3071.000000,3031.600098,3034.399902,3034.399902,0
2023-07-28,3034.500000,3060.800049,3030.100098,3057.800049,3057.800049,0
2023-07-30,null,null,null,null,null,null
2023-07-31,3057.899902,3067.300049,3054.600098,3064.300049,3064.300049,0
2023-08-01,3062.199951,3062.699951,3043.000000,3048.600098,3048.600098,0
2023-08-02,3049.000000,3049.000000,2997.699951,3000.500000,3000.500000,0
2023-08-03,3000.000000,3000.199951,2980.300049,2990.100098,2990.100098,0
2023-08-04,2990.500000,3017.199951,2983.800049,2986.500000,2986.500000,0
2023-08-06,null,null,null,null,null,null
2023-08-07,2984.399902,3004.600098,2980.300049,3003.800049,3003.800049,0
2023-08-08,3004.800049,3005.000000,2969.899902,2988.100098,2988.100098,0
2023-08-09,2988.899902,2995.300049,2972.699951,2976.300049,2976.300049,0
2023-08-10,2975.800049,3015.300049,2975.100098,2984.800049,2984.800049,0
2023-08-11,2981.199951,2982.600098,2961.300049,2972.699951,2972.699951,0
2023-08-13,null,null,null,null,null,null
2023-08-14,2971.199951,2977.399902,2955.699951,2976.899902,2976.899902,0
2023-08-15,2978.500000,2979.600098,2942.699951,2948.199951,2948.199951,0
2023-08-16,2943.899902,2948.100098,2923.000000,2925.600098,2925.600098,0
2023-08-17,2922.399902,2929.699951,2898.199951,2901.800049,2901.800049,0
2023-08-18,2899.699951,2903.199951,2877.100098,2897.500000,2897.500000,0
2023-08-20,null,null,null,null,null,null
2023-08-21,2897.899902,2915.100098,2892.199951,2910.500000,2910.500000,0
2023-08-22,2912.399902,2925.300049,2906.699951,2909.199951,2909.199951,0
2023-08-23,2908.399902,2942.600098,2908.300049,2937.699951,2937.699951,0
2023-08-24,2939.399902,2947.800049,2903.800049,2906.300049,2906.300049,0
2023-08-25,2901.500000,2924.100098,2887.500000,2912.000000,2912.000000,0
2023-08-27,null,null,null,null,null,null
2023-08-28,2915.500000,2939.300049,2915.500000,2935.699951,2935.699951,0
2023-08-29,2937.600098,2980.399902,2936.899902,2975.500000,2975.500000,0
2023-08-30,2979.500000,2996.899902,2977.699951,2991.500000,2991.500000,0
2023-08-31,2990.800049,2999.500000,2985.500000,2986.000000,2986.000000,0
2023-09-01,2985.600098,3008.399902,2981.399902,2989.500000,2989.500000,0
2023-09-03,null,null,null,null,null,null
2023-09-05,2990.399902,2990.899902,2973.500000,2973.500000,2973.500000,0
2023-09-06,2975.000000,2976.800049,2945.899902,2955.800049,2955.800049,0
2023-09-07,2956.000000,2956.600098,2935.100098,2947.100098,2947.100098,0
2023-09-08,2945.800049,2957.399902,2941.199951,2948.800049,2948.800049,0
2023-09-10,null,null,null,null,null,null
2023-09-11,2950.399902,2970.500000,2949.199951,2969.500000,2969.500000,0
2023-09-12,2970.000000,2971.699951,2954.899902,2955.899902,2955.899902,0
2023-09-13,2957.399902,2963.399902,2949.000000,2956.800049,2956.800049,0
2023-09-14,2957.600098,2984.399902,2957.399902,2982.699951,2982.699951,0
2023-09-15,2982.100098,2990.100098,2958.699951,2961.000000,2961.000000,0
2023-09-17,null,null,null,null,null,null
2023-09-18,2961.000000,2963.100098,2950.600098,2956.100098,2956.100098,0
2023-09-19,2956.500000,2959.199951,2937.600098,2951.199951,2951.199951,0
2023-09-20,2950.600098,2964.699951,2931.399902,2936.399902,2936.399902,0
2023-09-21,2931.000000,2931.000000,2885.699951,2886.100098,2886.100098,0
2023-09-22,2884.000000,2897.399902,2876.800049,2879.899902,2879.899902,0
2023-09-24,null,null,null,null,null,null
2023-09-25,2878.600098,2881.300049,2861.899902,2879.800049,2879.800049,0
2023-09-26,2881.000000,2881.100098,2840.199951,2844.800049,2844.800049,0
2023-09-27,2843.500000,2851.600098,2822.199951,2840.800049,2840.800049,0
2023-09-28,2840.199951,2865.100098,2835.100098,2855.899902,2855.899902,0
2023-09-29,2856.899902,2878.100098,2845.899902,2853.199951,2853.199951,0
2023-10-01,null,null,null,null,null,null
2023-10-02,2852.500000,2854.100098,2826.000000,2838.800049,2838.800049,0
2023-10-03,2836.399902,2836.399902,2792.800049,2799.600098,2799.600098,0
2023-10-04,2797.600098,2814.500000,2788.300049,2810.899902,2810.899902,0
2023-10-05,2812.899902,2822.000000,2800.399902,2816.399902,2816.399902,0
2023-10-06,2817.899902,2856.199951,2796.899902,2845.199951,2845.199951,0
2023-10-08,null,null,null,null,null,null
